id,priceType,priceFirst,priceMonth,description,floor,area,fee,roomType,roomNum,address,latitude,longitude,detailUrl,imageUrl,roomList
대전광역시 49,월세,300,45,best A급 퀄리티.탄방 초역세권.둔산생활권.초대형 크기,고층,19.29,4.5,도시형,3,대전시 서구 탄방동 767,36.3437791602508,127.388518359891,https://dabangapp.com/room/64b4d75181de9f5cd34e9047,https://d1774jszgerdmk.cloudfront.net/512/590e72fa-1513-4e73-8ba7-afe5284d2565,[]
대전광역시 50,월세,3000,20,투룸ㅁ욕실리모델링ㅁ도배완료ㅁ둔산동5분ㅁ즉시입주ㅁ옵션있음,3층,60,2,투룸,2,대전광역시 서구 갈마동,36.3526615199213,127.367840159016,https://dabangapp.com/room/64b61d38394d5549fb84492b,https://d1774jszgerdmk.cloudfront.net/512/uRKx05sJi0Urc4GELteG8,[]
대전광역시 51,월세,2000,70,"WoW용문동투룸 연인,친구 같이살기 좋은 깔끔한인테리어",2층,66.11,1.7,투룸,2,대전광역시 서구 용문동 589-23,36.3392611583947,127.391129458144,https://dabangapp.com/room/649e73ff875aa325f173f2c7,https://d1774jszgerdmk.cloudfront.net/512/WSo1orlApb2lYbzYg1SAy,[]
대전광역시 52,월세,200,55,즉시입주 단기방 푸르지오시티 오피스텔 침대풀옵션,고층,24.06,7.2,오피스텔,3,"대전시 유성구 봉명동 536-5, 알파동",36.3561381424605,127.343380004224,https://dabangapp.com/room/649ac8f24342073d4b526597,https://d1774jszgerdmk.cloudfront.net/512/0a279631-b3b9-40d3-a473-d06724644c18,[]
대전광역시 53,월세,500,45,초역세권. 유성푸르지오시티. 편의시설최고.,저층,17.43,5,도시형,3,대전시 유성구 봉명동 536-5,36.3561381424605,127.343380004224,https://dabangapp.com/room/649bea65815e05352ea61143,https://d1774jszgerdmk.cloudfront.net/512/LlrG2iWXpSdpUDPjz9gHi,[]
대전광역시 54,월세,1000,35,"+중리시장,중원초중앞+깔끔한투룸+갓성비+베란다+채광밝은남향집+살림집최적+",3층,52.89,1.5,투룸,2,대전광역시 대덕구 중리동 373-3,36.3647522307679,127.427129920453,https://dabangapp.com/room/64abf85dda38d10b043405ae,https://d1774jszgerdmk.cloudfront.net/512/iw75VnQE2aSuSvy91BSfz,[]
대전광역시 55,전세,23000,0,"아파트형오피스텔,전세자금대출가능,4베이구조,전망좋은 신축, 첫입주",13층,84.97,15,오피스텔,3,"대전시 유성구 용계동 677-1, 103동",36.3316596970152,127.332203346365,https://dabangapp.com/room/64a55c07ced0c4586a083fbd,https://d1774jszgerdmk.cloudfront.net/512/2z1xBmP3czb_nS_eEqKtu,[]
대전광역시 56,월세,1500,65,보증금 조절 가능 신축 투룸 첫입주 풀옵션 막힘없는 뷰,3층,49.5,5.4,투룸,2,대전광역시 유성구 복용동 577-4,36.3441090754758,127.312196126858,https://dabangapp.com/room/64b1f3a37881292ad56d98ef,https://d1774jszgerdmk.cloudfront.net/512/289b8d33-bde3-4ddb-a3b9-5de0c7dd91e0,[]
대전광역시 57,월세,1000,85,단독대형테라스+엘베신축/채광좋은투룸,4층,56.19,3,투룸,2,대전광역시 서구 괴정동 123-3,36.3394007869022,127.3772416463,https://dabangapp.com/room/64a537b3e52487021a92f7d0,https://d1774jszgerdmk.cloudfront.net/512/YWi5Tc-17gwg6NGbQQsHh,[]
대전광역시 58,월세,2000,30,ㅁ옵션있는투룸ㅁ저렴한 월세ㅁ욕실 리모델링ㅁ즉시 입주,3층,60,2,투룸,2,대전광역시 서구 갈마동,36.3526615199213,127.367840159016,https://dabangapp.com/room/64b4b9408070ba73993154fe,https://d1774jszgerdmk.cloudfront.net/512/nZdeACtZlCX5_ynEAbycF,[]
대전광역시 59,월세,2000,70,"신축급 거실 넓은 투룸, 위치도 너무 좋아요",2층,46.2,5,투룸,2,대전광역시 유성구 원신흥동 567-5,36.3354515927852,127.337668164137,https://dabangapp.com/room/6497bee43c84f442a520c440,https://d1774jszgerdmk.cloudfront.net/512/Cm49ui0D4hDhOP5NJApbM,[]
대전광역시 60,전세,8000,0,+인기매물+넓은 고급 투룸+,2층,59,2,투룸,2,대전광역시 서구 정림동 125-11,36.3054940417235,127.366775339561,https://dabangapp.com/room/64a267562dd72b7aede509c1,https://d1774jszgerdmk.cloudfront.net/512/2cbBcA60QZKFc_MLi8ael,[]
대전광역시 61,월세,2000,40,v반려동물 가능 반전세도 가능 용문역 초초초 역세권 투룸v,2층,42.97,2,투룸,2,대전광역시 서구 용문동 257-6,36.3370985414921,127.39372872044,https://dabangapp.com/room/649e7503a1d8f525f160584b,https://d1774jszgerdmk.cloudfront.net/512/03fed4ff-30d6-48cd-8d7f-05e0c35e8da5,[]
대전광역시 62,전세,15000,0,탄방동 투룸/ 카페같이 예쁜 테라스/ 융자 적은 안전한 집/ LH 가능,4층,48,4,투룸,2,대전광역시 서구 탄방동 1482-4,36.3450706737654,127.400356136315,https://dabangapp.com/room/64a4c70ab682dc39dca61b9e,https://d1774jszgerdmk.cloudfront.net/512/yRF8cLrojKbM6ae9GZhox,[]
대전광역시 63,전세,13000,0,//초역세권//좋은 위치의 좋은 컨디션//가격 훌륭한 투룸//,3층,52.89,5,투룸,2,대전광역시 서구 용문동 270-44,36.3363129971701,127.388853299946,https://dabangapp.com/room/64b5ee1d6b7f4a29578f0e76,https://d1774jszgerdmk.cloudfront.net/512/TcZGq-drtIWPxInZOex6f,[]
대전광역시 64,월세,2000,50,"o행운o신축 투룸,중문,대형거실,1층 주차장",3층,66.11,1.8,투룸,2,대전광역시 중구 문화동 443,36.3090159875305,127.406658225514,https://dabangapp.com/room/649409a0d37bae76ab22d2a0,https://d1774jszgerdmk.cloudfront.net/512/7ec27f8c-a1c8-4ce8-ac70-c59b56c16aff,[]
대전광역시 65,월세,1000,70,풀옵션/넓은거실/주차편리/롯데부근/알짜넓은투룸,3층,59.5,0,투룸,2,대전광역시 서구 괴정동 49-15,36.3387559008002,127.387606770193,https://dabangapp.com/room/64b278eb4547e67fff65809d,https://d1774jszgerdmk.cloudfront.net/512/gn5CAaAbHcg0COchdAixO,[]
대전광역시 66,전세,12000,0,"LH가능 / 봉산초,갈마중 도보 4분 / 즉시입주 가능 / 갈마동 2룸",2층,50,3.5,투룸,2,대전광역시 서구 갈마동 376-16,36.3464978687816,127.36721552072,https://dabangapp.com/room/64a2cc257252ff5acdd4deb9,https://d1774jszgerdmk.cloudfront.net/512/95ba18bd-9e23-49c4-bf74-8b9a89f4d7e9,[]
대전광역시 67,월세,2000,45,///리모델링///첫입주///초특가///넓은평수///쓰리룸같은///투룸짱,3층,62.81,1.7,투룸,2,대전광역시 서구 내동 26-7,36.3316633823587,127.372843265946,https://dabangapp.com/room/64b25c78fa6e1234276e2df7,https://d1774jszgerdmk.cloudfront.net/512/pZpym3-IdmW5Ww4Up21Km,[]
대전광역시 68,월세,300,45,애완동물ㅁ단독 테라스ㅁ투룸ㅁ리모델링ㅁ둔산동5분ㅁ테라스로망ㅁ옵션 있음,4층,52.89,2,투룸,2,대전광역시 서구 갈마동,36.3526615199213,127.367840159016,https://dabangapp.com/room/649a83cf868d551670b36a31,https://d1774jszgerdmk.cloudfront.net/512/98f31d19-b519-4fde-b38f-c89d65898202,[]
대전광역시 69,전세,11000,0,/LH가능/ 태평동 신축 첫입주 거실큰 투룸,3층,55,3.5,투룸 ∙ 미등기건물,3,"대전광역시 중구 태평동 255-91, 1동",36.3281455298524,127.400266413964,https://dabangapp.com/room/64a91e66ed84876f44170e84,https://d1774jszgerdmk.cloudfront.net/512/SkaR2ZYSEbAtdgP2hTdwp,[]
대전광역시 70,월세,500,55,"+ㅇ+복합터미널, 이마트, 대전IC 5분거리 신축급 1.5룸+ㅇ+",4층,42.97,2,투룸,2,대전광역시 동구 용전동 128-58,36.3518705727872,127.433395725999,https://dabangapp.com/room/64982118dec1f451d2a8e902,https://d1774jszgerdmk.cloudfront.net/512/60d24b42-7e59-4180-b705-e45a3dbf2e9f,[]
대전광역시 71,전세,9000,0,"미친매물/중기청,버팀목,카카오가능/ 첫입주투룸/ 실물갑",3층,49.58,1.5,투룸,2,대전광역시 유성구 학하동 754-5,36.3373550450277,127.310142071946,https://dabangapp.com/room/64a2858ac096fc01f9181f57,https://d1774jszgerdmk.cloudfront.net/512/P3ugI9RoxCsd2afUq3vGG,[]
대전광역시 72,월세,2000,50,ㅁ충남대부동산ㅁ 갓성비 쓰리룸 / 단독 테라스 / 베란다 / 에어컨 2대,4층,66.11,1.5,쓰리룸 이상,3,대전광역시 유성구 구암동 614-19,36.3496686287692,127.333732751316,https://dabangapp.com/room/64a6818e8c233b0ae2e668cb,https://d1774jszgerdmk.cloudfront.net/512/LM36l8Cz2w-s_s4yZIq2A,[]
